TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
   480    7079      13       1     100       1      11  
   481    7092      13       1     100       1      11  
   482    7106      14       1     100       1      12  
   483    7120      14       1     100       1      12  
   484    7134      14       1     100       1      12  
   485    7147      13       1     100       2      10  
   486    7160      13       1     100       1      11  
   487    7174      14       1     100       2      11  
   488    7188      14       1     100       1      12  
   489    7201      13       1     100       1      11  
   490    7213      12       1     100       1      10  
   491    7226      13       1     100       1      11  
   492    7239      13       1     100       2      10  
   493    7253      14       1     100       1      12  
   494    7270      17       1     100       2      14  
   495    7285      15       1     100       1      13  
   496    7301      16       1     100       1      14  
   497    7316      15       1     100       2      12  
   498    7332      16       1     100       1      14  
   499    7347      15       1     100       1      13  
   500    7362      15       1     100       1      13  
   501    7377      15       1     100       1      13  
   502    7393      16       1     100       1      14  
   503    7409      16       1     100       1      14  
   504    7426      17       1     100       1      15  
   505    7442      16       1     100       1      14  
   506    7460      18       1     100       1      16  
   507    7476      16       1     100       1      14  
   508    7490      14       1     100       1      12  
   509    7504      14       1     100       1      12  
   510    7518      14       1     100       1      12  
   511    7532      14       1     100       2      11  
   512    7546      14       1     100       1      12  
   513    7562      16       1     100       1      14  
   514    7576      14       1     100       1      12  
   515    7590      14       1     100       1      12  
   516    7604      14       1     100       3      10  
   517    7617      13       1     100       1      11  
   518    7631      14       1     100       1      12  
   519    7647      16       1     100       1      14  
   520    7661      14       1     100       1      12  
   521    7676      15       1     100       1      13  
   522    7692      16       1     100       1      14  
   523    7708      16       1     100       3      12  
   524    7727      19       1     100       1      17  
   525    7746      19       1     100       4      14  
   526    7767      21       1     100       1      19  
   527    7783      16       1     100       1      14  
   528    7796      13       1     100       1      11  
   529    7811      15       1     100       1      13  
   530    7827      16       1     100       2      13  
   531    7841      14       1     100       1      12  
   532    7857      16       1     100       1      14  
   533    7873      16       1     100       1      14  
   534    7886      13       1     100       1      11  
   535    7902      16       1     100       1      14  
   536    7926      24       1     100       6      17  
   537    7942      16       1     100       1      14  
   538    7960      18       1     100       1      16  
   539    7975      15       1     100       1      13  
   540    7990      15       1     100       1      13  
   541    8009      19       1     100       5      13  
   542    8030      21       1     100       1      19  
   543    8048      18       1     100       1      16  
   544    8063      15       1     100       1      13  
   545    8079      16       1     100       1      14  
   546    8094      15       1     100       1      13  
   547    8108      14       1     100       1      12  
   548    8124      16       1     100       3      12  
   549    8141      17       1     100       1      15  
   550    8155      14       1     100       1      12  
   551    8170      15       1     100       1      13  
   552    8184      14       1     100       1      12  
   553    8198      14       1     100       1      12  
   554    8210      12       1     100       1      10  
   555    8225      15       1     100       1      13  
   556    8242      17       1     100       3      13  
   557    8257      15       1     100       1      13  
   558    8272      15       1     100       1      13  
   559    8287      15       1     100       3      11  
   560    8306      19       1     100       4      14  
   561    8322      16       1     100       1      14  
   562    8341      19       1     100       1      17  
   563    8359      18       1     100       1      16  
   564    8376      17       1     100       1      15  
   565    8393      17       1     100       1      15  
   566    8411      18       1     100       1      16  
   567    8427      16       1     100       1      14  
   568    8442      15       1     100       1      13  
   569    8460      18       1     100       2      15  
   570    8474      14       1     100       1      12  
   571    8489      15       1     100       1      13  
   572    8505      16       1     100       1      14  
   573    8523      18       1     100       0      17  
   574    8533      10       1     100       2       7  
   575    8550      17       1     100       1      15  
   576    8564      14       1     100       1      12  
   577    8586      22       1     100       4      17  
   578    8602      16       1     100       1      14  
   579    8620      18       1     100       0      17  
   580    8632      12       1     100       2       9  
   581    8647      15       1     100       1      13  
   582    8661      14       1     100       1      12  
   583    8674      13       1     100       1      11  
   584    8689      15       1     100       1      13  
   585    8703      14       1     100       1      12  
   586    8715      12       1     100       1      10  
   587    8729      14       1     100       1      12  
   588    8745      16       1     100       1      14  
   589    8760      15       1     100       1      13  
   590    8774      14       1     100       1      12  
   591    8788      14       1     100       3      10  
   592    8802      14       1     100       1      12  
   593    8818      16       1     100       1      14  
   594    8833      15       1     100       1      13  
