Time  Coordinate0  Coordinate1  Coordinate2  Displacement0  Displacement1  Displacement2  Force0  Force1  Force2  
 1.87500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   6.10359405e-08   6.75189528e-07  -4.68974438e-06   9.09337685e-07   7.15388960e-06   8.86909355e-08  
 1.90000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   6.33752290e-08   7.12137297e-07  -5.13011559e-06   9.32035162e-07   7.46080452e-06   9.31921775e-08  
 1.92500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   6.57741008e-08   7.50230577e-07  -5.59074390e-06   9.51220758e-07   7.69923723e-06   9.75634483e-08  
 1.95000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   6.82359731e-08   7.89566938e-07  -6.07090340e-06   9.87498122e-07   8.27186991e-06   1.01881246e-07  
 1.97500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   7.07612239e-08   8.30145929e-07  -6.56983327e-06   1.00499155e-06   8.47383240e-06   1.05988040e-07  
 2.00000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   7.33491263e-08   8.71951798e-07  -7.08676621e-06   1.03753665e-06   8.96330843e-06   1.10025394e-07  
 2.02500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   7.60007057e-08   9.14993456e-07  -7.62094079e-06   1.06081835e-06   9.26936982e-06   1.13898610e-07  
 2.05000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   7.87241133e-08   9.59488342e-07  -8.17160279e-06   1.08442615e-06   9.58333403e-06   1.17643064e-07  
 2.07500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   8.15281773e-08   1.00563948e-06  -8.73802507e-06   1.11174936e-06   9.97799245e-06   1.21288822e-07  
 2.10000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   8.44023089e-08   1.05318331e-06  -9.31951038e-06   1.12316370e-06   1.00392087e-05   1.24735279e-07  
 2.12500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   8.73622134e-08   1.10251224e-06  -9.91538426e-06   1.14279121e-06   1.02787685e-05   1.28115007e-07  
 2.15000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   9.04024704e-08   1.15350183e-06  -1.05250145e-05   1.17226920e-06   1.06991985e-05   1.31459699e-07  
 2.17500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   9.35289621e-08   1.20629945e-06  -1.11477914e-05   1.20009791e-06   1.10898074e-05   1.34699173e-07  
