TimeWindow  TotalIterations  Iterations  Convergence  
   396    5729      18       1  
   397    5745      16       1  
   398    5760      15       1  
   399    5779      19       1  
   400    5797      18       1  
   401    5814      17       1  
   402    5832      18       1  
   403    5847      15       1  
   404    5863      16       1  
   405    5878      15       1  
   406    5893      15       1  
   407    5907      14       1  
   408    5922      15       1  
   409    5937      15       1  
   410    5956      19       1  
   411    5974      18       1  
   412    5989      15       1  
   413    6005      16       1  
   414    6020      15       1  
   415    6036      16       1  
   416    6052      16       1  
   417    6069      17       1  
   418    6088      19       1  
   419    6105      17       1  
   420    6122      17       1  
   421    6137      15       1  
   422    6153      16       1  
   423    6167      14       1  
   424    6183      16       1  
   425    6198      15       1  
   426    6213      15       1  
   427    6228      15       1  
   428    6243      15       1  
   429    6255      12       1  
   430    6269      14       1  
   431    6284      15       1  
   432    6300      16       1  
   433    6315      15       1  
   434    6332      17       1  
   435    6354      22       1  
   436    6373      19       1  
   437    6391      18       1  
   438    6409      18       1  
   439    6426      17       1  
   440    6445      19       1  
   441    6463      18       1  
   442    6478      15       1  
   443    6496      18       1  
   444    6514      18       1  
   445    6531      17       1  
   446    6548      17       1  
   447    6565      17       1  
   448    6580      15       1  
   449    6595      15       1  
   450    6611      16       1  
   451    6626      15       1  
   452    6642      16       1  
   453    6659      17       1  
   454    6676      17       1  
   455    6690      14       1  
   456    6706      16       1  
   457    6723      17       1  
   458    6741      18       1  
   459    6759      18       1  
   460    6776      17       1  
   461    6793      17       1  
   462    6811      18       1  
   463    6827      16       1  
   464    6844      17       1  
   465    6859      15       1  
   466    6873      14       1  
   467    6889      16       1  
   468    6904      15       1  
   469    6918      14       1  
   470    6934      16       1  
   471    6947      13       1  
   472    6963      16       1  
   473    6979      16       1  
   474    6994      15       1  
   475    7010      16       1  
   476    7024      14       1  
   477    7037      13       1  
   478    7052      15       1  
   479    7066      14       1  
   480    7079      13       1  
   481    7092      13       1  
   482    7106      14       1  
   483    7120      14       1  
   484    7134      14       1  
   485    7147      13       1  
   486    7160      13       1  
   487    7174      14       1  
   488    7188      14       1  
   489    7201      13       1  
   490    7213      12       1  
   491    7226      13       1  
   492    7239      13       1  
   493    7253      14       1  
   494    7270      17       1  
   495    7285      15       1  
   496    7301      16       1  
   497    7316      15       1  
   498    7332      16       1  
   499    7347      15       1  
   500    7362      15       1  
   501    7377      15       1  
   502    7393      16       1  
   503    7409      16       1  
   504    7426      17       1  
   505    7442      16       1  
   506    7460      18       1  
   507    7476      16       1  
   508    7490      14       1  
   509    7504      14       1  
   510    7518      14       1  
   511    7532      14       1  
   512    7546      14       1  
   513    7562      16       1  
   514    7576      14       1  
   515    7590      14       1  
   516    7604      14       1  
   517    7617      13       1  
   518    7631      14       1  
   519    7647      16       1  
   520    7661      14       1  
   521    7676      15       1  
   522    7692      16       1  
   523    7708      16       1  
   524    7727      19       1  
   525    7746      19       1  
   526    7767      21       1  
   527    7783      16       1  
   528    7796      13       1  
   529    7811      15       1  
   530    7827      16       1  
   531    7841      14       1  
   532    7857      16       1  
   533    7873      16       1  
   534    7886      13       1  
   535    7902      16       1  
   536    7926      24       1  
   537    7942      16       1  
   538    7960      18       1  
   539    7975      15       1  
   540    7990      15       1  
   541    8009      19       1  
   542    8030      21       1  
   543    8048      18       1  
   544    8063      15       1  
   545    8079      16       1  
   546    8094      15       1  
   547    8108      14       1  
   548    8124      16       1  
   549    8141      17       1  
   550    8155      14       1  
   551    8170      15       1  
   552    8184      14       1  
   553    8198      14       1  
   554    8210      12       1  
   555    8225      15       1  
   556    8242      17       1  
   557    8257      15       1  
   558    8272      15       1  
   559    8287      15       1  
   560    8306      19       1  
   561    8322      16       1  
   562    8341      19       1  
   563    8359      18       1  
   564    8376      17       1  
   565    8393      17       1  
   566    8411      18       1  
   567    8427      16       1  
   568    8442      15       1  
   569    8460      18       1  
   570    8474      14       1  
   571    8489      15       1  
   572    8505      16       1  
   573    8523      18       1  
   574    8533      10       1  
   575    8550      17       1  
   576    8564      14       1  
   577    8586      22       1  
   578    8602      16       1  
   579    8620      18       1  
   580    8632      12       1  
   581    8647      15       1  
   582    8661      14       1  
   583    8674      13       1  
   584    8689      15       1  
   585    8703      14       1  
   586    8715      12       1  
   587    8729      14       1  
   588    8745      16       1  
   589    8760      15       1  
   590    8774      14       1  
   591    8788      14       1  
   592    8802      14       1  
   593    8818      16       1  
   594    8833      15       1  
   595    8847      14       1  
   596    8860      13       1  
   597    8873      13       1  
   598    8886      13       1  
   599    8898      12       1  
   600    8911      13       1  
   601    8923      12       1  
   602    8935      12       1  
   603    8948      13       1  
   604    8961      13       1  
   605    8973      12       1  
   606    8987      14       1  
   607    9000      13       1  
   608    9013      13       1  
   609    9028      15       1  
   610    9042      14       1  
   611    9055      13       1  
   612    9069      14       1  
   613    9084      15       1  
   614    9098      14       1  
   615    9111      13       1  
   616    9125      14       1  
   617    9137      12       1  
   618    9151      14       1  
   619    9160       9       1  
   620    9173      13       1  
   621    9186      13       1  
   622    9198      12       1  
   623    9209      11       1  
   624    9221      12       1  
   625    9233      12       1  
   626    9247      14       1  
   627    9260      13       1  
   628    9273      13       1  
   629    9286      13       1  
   630    9299      13       1  
   631    9311      12       1  
   632    9325      14       1  
   633    9338      13       1  
   634    9350      12       1  
   635    9364      14       1  
   636    9381      17       1  
   637    9396      15       1  
   638    9411      15       1  
   639    9424      13       1  
   640    9436      12       1  
   641    9451      15       1  
   642    9466      15       1  
   643    9480      14       1  
   644    9494      14       1  
   645    9509      15       1  
   646    9526      17       1  
   647    9540      14       1  
   648    9553      13       1  
   649    9568      15       1  
   650    9581      13       1  
   651    9594      13       1  
   652    9607      13       1  
   653    9620      13       1  
   654    9634      14       1  
   655    9649      15       1  
   656    9663      14       1  
   657    9676      13       1  
   658    9691      15       1  
   659    9704      13       1  
   660    9716      12       1  
   661    9729      13       1  
   662    9743      14       1  
   663    9763      20       1  
   664    9777      14       1  
   665    9791      14       1  
   666    9805      14       1  
   667    9821      16       1  
   668    9836      15       1  
   669    9851      15       1  
   670    9865      14       1  
   671    9883      18       1  
   672    9897      14       1  
   673    9909      12       1  
   674    9923      14       1  
   675    9937      14       1  
   676    9950      13       1  
   677    9964      14       1  
   678    9977      13       1  
   679    9993      16       1  
   680   10011      18       1  
   681   10025      14       1  
   682   10038      13       1  
   683   10052      14       1  
   684   10067      15       1  
   685   10082      15       1  
   686   10097      15       1  
   687   10111      14       1  
   688   10126      15       1  
   689   10140      14       1  
   690   10153      13       1  
   691   10165      12       1  
   692   10177      12       1  
   693   10190      13       1  
   694   10201      11       1  
   695   10212      11       1  
   696   10224      12       1  
   697   10238      14       1  
   698   10252      14       1  
   699   10265      13       1  
   700   10278      13       1  
   701   10291      13       1  
   702   10305      14       1  
   703   10318      13       1  
   704   10332      14       1  
   705   10345      13       1  
   706   10359      14       1  
   707   10373      14       1  
   708   10387      14       1  
   709   10400      13       1  
   710   10414      14       1  
   711   10428      14       1  
